constraint_name,table,columns_or_predicate,type,migration/model/database_contract,service_command,operation_id,current_precheck,current_integrity_handling,current_http_status_code_details,recommended_status_code_details,transaction_owner,required_tests
pk_ai_channel_headers,ai_channel_headers,id,PRIMARY KEY,backend/alembic/versions/0009_config_center.py:183-208 ; backend/app/models/ai_generation.py:29-228 ; contracts/database.md:79,ai_configuration.create_ai_channel_header; ai_configuration.update_ai_channel_header,createAIChannelHeader;updateAIChannelHeader,ai_configuration.create_ai_channel_header; ai_configuration.update_ai_channel_header: 直接构造/写入 ai_channel_headers.id；未见针对 pk_ai_channel_headers 的独立预检，数据库 PK 是 authority,ai_configuration.create_ai_channel_header; ai_configuration.update_ai_channel_header: 无 pk_ai_channel_headers 专用 diagnostics mapper；flush/commit 异常进入 errors.py:76-79 全局 IntegrityError handler,当前 HTTP owner 全局 409 REVISION_CONFLICT / 数据约束冲突（不泄漏 DB）,pk_ai_channel_headers 未有已批准领域 code；未知 PK 应 default500 或 contract-decision required，不能伪装 revision,ai_configuration.create_ai_channel_header; ai_configuration.update_ai_channel_header 的直接 command 顶层 Session（由 owner 负责 flush/commit/rollback）,真实 PostgreSQL PRIMARY KEY sentinel：pk_ai_channel_headers；仅覆盖直接 owner ai_configuration.create_ai_channel_header; ai_configuration.update_ai_channel_header / operation createAIChannelHeader;updateAIChannelHeader；断言 diagnostics/HTTP 或 worker 失败边界、rollback、无 SUCCESS audit
pk_ai_channels,ai_channels,id,PRIMARY KEY,"backend/alembic/versions/0009_config_center.py:163-182; backend/alembic/versions/0021_ai_channel_model_management.py:17-52 ; backend/app/models/ai_generation.py:29-228 ; contracts/database.md:79,169-177",ai_configuration.create_ai_channel; ai_configuration.update_ai_channel; ai_configuration.replace_ai_channel_api_key; ai_configuration.set_channel_enabled; ai_configuration.delete_ai_channel,createAIChannel;updateAIChannel;replaceAIChannelApiKey;enableAIChannel;disableAIChannel;deleteAIChannel,ai_configuration.create_ai_channel; ai_configuration.update_ai_channel; ai_configuration.replace_ai_channel_api_key; ai_configuration.set_channel_enabled; ai_configuration.delete_ai_channel: 直接构造/写入 ai_channels.id；未见针对 pk_ai_channels 的独立预检，数据库 PK 是 authority,ai_configuration.create_ai_channel; ai_configuration.update_ai_channel; ai_configuration.replace_ai_channel_api_key; ai_configuration.set_channel_enabled; ai_configuration.delete_ai_channel: 无 pk_ai_channels 专用 diagnostics mapper；flush/commit 异常进入 errors.py:76-79 全局 IntegrityError handler,当前 HTTP owner 全局 409 REVISION_CONFLICT / 数据约束冲突（不泄漏 DB）,pk_ai_channels 未有已批准领域 code；未知 PK 应 default500 或 contract-decision required，不能伪装 revision,ai_configuration.create_ai_channel; ai_configuration.update_ai_channel; ai_configuration.replace_ai_channel_api_key; ai_configuration.set_channel_enabled; ai_configuration.delete_ai_channel 的直接 command 顶层 Session（由 owner 负责 flush/commit/rollback）,真实 PostgreSQL PRIMARY KEY sentinel：pk_ai_channels；仅覆盖直接 owner ai_configuration.create_ai_channel; ai_configuration.update_ai_channel; ai_configuration.replace_ai_channel_api_key; ai_configuration.set_channel_enabled; ai_configuration.delete_ai_channel / operation createAIChannel;updateAIChannel;replaceAIChannelApiKey;enableAIChannel;disableAIChannel;deleteAIChannel；断言 diagnostics/HTTP 或 worker 失败边界、rollback、无 SUCCESS audit
pk_ai_models,ai_models,id,PRIMARY KEY,"backend/alembic/versions/0009_config_center.py:208-234 ; backend/app/models/ai_generation.py:29-228 ; contracts/database.md:79,437",ai_configuration.create_ai_model; ai_configuration.update_ai_model; ai_configuration.test_ai_model; ai_configuration.set_model_enabled; ai_configuration.delete_ai_model,createAIModel;updateAIModel;testAIModel;enableAIModel;disableAIModel;deleteAIModel,ai_configuration.create_ai_model; ai_configuration.update_ai_model; ai_configuration.test_ai_model; ai_configuration.set_model_enabled; ai_configuration.delete_ai_model: 直接构造/写入 ai_models.id；未见针对 pk_ai_models 的独立预检，数据库 PK 是 authority,ai_configuration.create_ai_model; ai_configuration.update_ai_model; ai_configuration.test_ai_model; ai_configuration.set_model_enabled; ai_configuration.delete_ai_model: 无 pk_ai_models 专用 diagnostics mapper；flush/commit 异常进入 errors.py:76-79 全局 IntegrityError handler,当前 HTTP owner 全局 409 REVISION_CONFLICT / 数据约束冲突（不泄漏 DB）,pk_ai_models 未有已批准领域 code；未知 PK 应 default500 或 contract-decision required，不能伪装 revision,ai_configuration.create_ai_model; ai_configuration.update_ai_model; ai_configuration.test_ai_model; ai_configuration.set_model_enabled; ai_configuration.delete_ai_model 的直接 command 顶层 Session（由 owner 负责 flush/commit/rollback）,真实 PostgreSQL PRIMARY KEY sentinel：pk_ai_models；仅覆盖直接 owner ai_configuration.create_ai_model; ai_configuration.update_ai_model; ai_configuration.test_ai_model; ai_configuration.set_model_enabled; ai_configuration.delete_ai_model / operation createAIModel;updateAIModel;testAIModel;enableAIModel;disableAIModel;deleteAIModel；断言 diagnostics/HTTP 或 worker 失败边界、rollback、无 SUCCESS audit
pk_audit_logs,audit_logs,id,PRIMARY KEY,"backend/alembic/versions/0001_identity_audit.py:1-120 ; backend/app/models/identity.py:28-112 ; contracts/database.md:203-211,337,460","app.audit.append_audit（间接 writer）← identity.export_users@272, identity.change_password@360, identity.create_user@399, identity.update_user/bulk_update_user_status→identity._update_user_locked@431, identity.delete_user@597, identity.reset_user_password@652, product_facts.create_product@395, product_facts.update_product@427, product_facts.delete_product@488, product_facts.delete_fact_version@560, review.transition_fact_version@283, review.transition_content_version@340, content_production.delete_content_draft@817, content_planning.create_query_topic@197, content_planning.update_query_topic@226, content_planning.delete_query_topic@264, platform_configuration.set_platform_profile_enabled@343, platform_configuration.delete_platform_type@502, platform_configuration.create_platform_prompt@615, platform_configuration.update_platform_prompt@656, platform_configuration.put_content_humanization_prompt@745, platform_configuration.delete_platform_prompt@795, platform_configuration.delete_platform_profile@903, ai_configuration.create_ai_channel@461, ai_configuration.delete_ai_channel@511, ai_configuration.create_ai_channel_header@542, ai_configuration.update_ai_channel_header@591, ai_configuration.delete_ai_channel_header@641, ai_configuration.create_ai_model@680, ai_configuration.delete_ai_model@718, ai_configuration.update_ai_channel@748, ai_configuration.replace_ai_channel_api_key@802, ai_configuration.set_channel_enabled@838, ai_configuration.update_ai_model@881, ai_configuration.set_model_enabled@1020, publication.delete_platform_account@336, publication.verify_publication_work@716, publication.permanently_delete_published_article@1097, publication.delete_content_task@1533, publication.permanently_delete_content_task@1590, geo_observation.delete_geo_observation@2557",exportUsers;changePassword;createUser;updateUser;bulkUpdateUserStatus;deleteUser;resetUserPassword;createQueryTopic;updateQueryTopic;deleteQueryTopic;createProduct;updateProduct;deleteProduct;deleteFactVersion;approveFactVersion;approveContentVersion;deleteContentDraft;deleteGeoObservation;enablePlatformProfile;disablePlatformProfile;deletePlatformType;createPlatformPrompt;updatePlatformPrompt;putContentHumanizationPrompt;deletePlatformPrompt;deletePlatformProfile;createAIChannel;deleteAIChannel;createAIChannelHeader;updateAIChannelHeader;deleteAIChannelHeader;createAIModel;deleteAIModel;updateAIChannel;replaceAIChannelApiKey;enableAIChannel;disableAIChannel;updateAIModel;enableAIModel;disableAIModel;deletePlatformAccount;verifyPublicationWork;permanentlyDeletePublishedArticle;deleteContentTask;permanentlyDeleteContentTask,append_audit.validate_audit_entry@audit.py:72-139 校验字段/敏感信息；db.add 后由上述 caller commit，DB constraint 仍是 authority,app.audit.append_audit 仅间接 db.add，不 flush/commit；各 caller 无 audit constraint 专用 catch，异常进入 errors.py:76-79 全局 handler,列出的 HTTP caller 当前未捕获 audit constraint 异常，统一返回 409 REVISION_CONFLICT / 数据约束冲突；无独立 worker caller,audit constraint 失败不应伪装 revision；需 contract-decision required，未知 default500，禁止泄漏 audit/DB details,列出的各 HTTP service caller 顶层 Session；app.audit.append_audit 是间接 writer，不拥有事务,真实 PostgreSQL PRIMARY KEY sentinel：pk_audit_logs；从真实 caller 调用 append_audit 并 commit；断言 diagnostics/HTTP 结果、rollback、无 SUCCESS audit
pk_content_humanization_prompts,content_humanization_prompts,id,PRIMARY KEY,backend/alembic/versions/0017_content_humanization.py:16-36 ; backend/app/models/configuration.py:26-125 ; contracts/database.md:129,platform_configuration.put_content_humanization_prompt,putContentHumanizationPrompt,platform_configuration.put_content_humanization_prompt: 直接构造/写入 content_humanization_prompts.id；未见针对 pk_content_humanization_prompts 的独立预检，数据库 PK 是 authority,platform_configuration.put_content_humanization_prompt: 无 pk_content_humanization_prompts 专用 diagnostics mapper；flush/commit 异常进入 errors.py:76-79 全局 IntegrityError handler,当前 HTTP owner 全局 409 REVISION_CONFLICT / 数据约束冲突（不泄漏 DB）,pk_content_humanization_prompts 未有已批准领域 code；未知 PK 应 default500 或 contract-decision required，不能伪装 revision,platform_configuration.put_content_humanization_prompt 的直接 command 顶层 Session（由 owner 负责 flush/commit/rollback）,真实 PostgreSQL PRIMARY KEY sentinel：pk_content_humanization_prompts；仅覆盖直接 owner platform_configuration.put_content_humanization_prompt / operation putContentHumanizationPrompt；断言 diagnostics/HTTP 或 worker 失败边界、rollback、无 SUCCESS audit
pk_content_review_records,content_review_records,id,PRIMARY KEY,"backend/app/migration_schema_v1.py:519-528 ; backend/app/models/content.py:28-210 ; contracts/database.md:418,455",review.transition_content_version; publication.permanently_delete_content_task,submitContentVersion;approveContentVersion;requestContentVersionChanges;permanentlyDeleteContentTask,review.transition_content_version; publication.permanently_delete_content_task: 直接构造/写入 content_review_records.id；未见针对 pk_content_review_records 的独立预检，数据库 PK 是 authority,review.transition_content_version; publication.permanently_delete_content_task: 无 pk_content_review_records 专用 diagnostics mapper；flush/commit 异常进入 errors.py:76-79 全局 IntegrityError handler,当前 HTTP owner 全局 409 REVISION_CONFLICT / 数据约束冲突（不泄漏 DB）,pk_content_review_records 未有已批准领域 code；未知 PK 应 default500 或 contract-decision required，不能伪装 revision,review.transition_content_version; publication.permanently_delete_content_task 的直接 command 顶层 Session（由 owner 负责 flush/commit/rollback）,真实 PostgreSQL PRIMARY KEY sentinel：pk_content_review_records；仅覆盖直接 owner review.transition_content_version; publication.permanently_delete_content_task / operation submitContentVersion;approveContentVersion;requestContentVersionChanges;permanentlyDeleteContentTask；断言 diagnostics/HTTP 或 worker 失败边界、rollback、无 SUCCESS audit
pk_content_task_geo_sources,content_task_geo_sources,content_task_id,PRIMARY KEY,"backend/alembic/versions/0035_business_workflow_primary_tasks.py:200-254 ; backend/app/models/content.py:28-210 ; contracts/database.md:315,459",geo_observation.create_geo_optimization_content_task; publication.permanently_delete_content_task,createGeoOptimizationContentTask;permanentlyDeleteContentTask,geo_observation.create_geo_optimization_content_task; publication.permanently_delete_content_task: 直接写入/修改/删除链按该列或触发器语义执行；未见 pk_content_task_geo_sources 专用预检，数据库 PRIMARY KEY 是 authority,geo_observation.create_geo_optimization_content_task; publication.permanently_delete_content_task: 未见按 pk_content_task_geo_sources 专用 diagnostics mapper；SQL 约束/trigger 失败由 owner rollback，HTTP 进入 errors.py:76-79 全局 handler,HTTP owner 当前未捕获时进入全局 409 REVISION_CONFLICT / 数据约束冲突（不泄漏 DB）。,pk_content_task_geo_sources：按 PostgreSQL diagnostics 精确映射；未批准领域 code 时 default500/contract-decision required，禁止错误文本映射。,geo_observation.create_geo_optimization_content_task；publication.permanently_delete_content_task 的直接 command/worker 顶层 Session（间接 helper 不拥有事务；owner 负责 flush/commit/rollback）,真实 PostgreSQL PRIMARY KEY sentinel：pk_content_task_geo_sources；仅覆盖直接 owner geo_observation.create_geo_optimization_content_task; publication.permanently_delete_content_task / operation createGeoOptimizationContentTask;permanentlyDeleteContentTask；断言 diagnostics/HTTP 或 worker 失败边界、rollback、无 SUCCESS audit
pk_content_tasks,content_tasks,id,PRIMARY KEY,"backend/app/migration_schema_v1.py:390-417; backend/alembic/versions/0025_markdown_facts_direct_platform.py:528-541; backend/alembic/versions/0035_business_workflow_primary_tasks.py:67-90 ; backend/app/models/content.py:28-210 ; contracts/database.md:37,153-159,221-225,327-341,412,419,434-435",content_planning.create_content_task; geo_observation.create_geo_optimization_content_task; publication.create_repair_task; publication.delete_content_task; publication.permanently_delete_content_task,createContentTask;createGeoOptimizationContentTask;createPublishedContentRepairTask;deleteContentTask;permanentlyDeleteContentTask,content_planning.create_content_task; geo_observation.create_geo_optimization_content_task; publication.create_repair_task; publication.delete_content_task; publication.permanently_delete_content_task: 直接写入/修改/删除链按该列或触发器语义执行；未见 pk_content_tasks 专用预检，数据库 PRIMARY KEY 是 authority,content_planning.create_content_task; geo_observation.create_geo_optimization_content_task; publication.create_repair_task; publication.delete_content_task; publication.permanently_delete_content_task: 未见按 pk_content_tasks 专用 diagnostics mapper；SQL 约束/trigger 失败由 owner rollback，HTTP 进入 errors.py:76-79 全局 handler,HTTP owner 当前未捕获时进入全局 409 REVISION_CONFLICT / 数据约束冲突（不泄漏 DB）。,pk_content_tasks：按 PostgreSQL diagnostics 精确映射；未批准领域 code 时 default500/contract-decision required，禁止错误文本映射。,content_planning.create_content_task；geo_observation.create_geo_optimization_content_task；publication.create_repair_task；publication.delete_content_task；publication.permanently_delete_content_task 的直接 command/worker 顶层 Session（间接 helper 不拥有事务；owner 负责 flush/commit/rollback）,真实 PostgreSQL PRIMARY KEY sentinel：pk_content_tasks；仅覆盖直接 owner content_planning.create_content_task; geo_observation.create_geo_optimization_content_task; publication.create_repair_task; publication.delete_content_task; publication.permanently_delete_content_task / operation createContentTask;createGeoOptimizationContentTask;createPublishedContentRepairTask;deleteContentTask;permanentlyDeleteContentTask；断言 diagnostics/HTTP 或 worker 失败边界、rollback、无 SUCCESS audit
pk_content_versions,content_versions,id,PRIMARY KEY,backend/app/migration_schema_v1.py:466-508; backend/alembic/versions/0035_business_workflow_primary_tasks.py:174-198; backend/app/models/content.py:91-150; contracts/database.md:418-421,content_production._create_human_content←create_manual_content_version/create_content_revision（INSERT）; generation.process_generation_job（INSERT）,createManualContentVersion;createContentRevision;无 HTTP operationId（generation.process_generation_job worker）,ContentVersion.id 由 ORM new_uuid default 生成；人工与 worker INSERT 均无 PK 专用预检，数据库 PK 是 authority。,人工版本 HTTP 失败由 get_db request Session 回滚，当前 235xx 进入全局 IntegrityError handler 并误报 409 REVISION_CONFLICT；worker 无 HTTP，通用异常分支回滚结果事务并持久化 Job FAILED/GENERATION_FAILED。,人工 INSERT 的 23505 当前误报 409 REVISION_CONFLICT/数据约束冲突/details={}；worker 失败不生成 HTTP 响应。,无已批准 PK 领域 code；unknown 23505 应 default500，禁止伪装 revision。,create_manual_content_version/create_content_revision 持有 request Session 并最终 commit；generation.process_generation_job 持有独立 SessionLocal，失败 rollback 后提交 Job FAILED；_create_human_content 不拥有根事务。,真实 PostgreSQL 分别在人工 HTTP INSERT 与 worker finalize 强制重复 UUID；断言 23505+pk_content_versions、无第二版本/任务指针或 revision 残留；worker 仅保留 FAILED Job。
pk_fact_review_records,fact_review_records,id,PRIMARY KEY,"backend/app/migration_schema_v1.py:330-339 ; backend/app/models/product_facts.py:27-116 ; contracts/database.md:417,455",review.transition_fact_version; product_facts.delete_fact_version,submitProductFactReview;approveFactVersion;requestFactVersionChanges;retireFactVersion;deleteFactVersion,review.transition_fact_version; product_facts.delete_fact_version: 直接写入/修改/删除链按该列或触发器语义执行；未见 pk_fact_review_records 专用预检，数据库 PRIMARY KEY 是 authority,review.transition_fact_version; product_facts.delete_fact_version: 未见按 pk_fact_review_records 专用 diagnostics mapper；失败由最终 owner rollback，异常进入全局 handler（worker 则由独立 Session 处理）,HTTP owner 当前未捕获时全局 409 REVISION_CONFLICT / 数据约束冲突（不泄漏 DB）。,pk_fact_review_records：按 PostgreSQL diagnostics 精确映射；未批准领域 code 时 default500/contract-decision required，禁止错误文本映射。,review.transition_fact_version; product_facts.delete_fact_version 的最终 flush/commit command 或独立 worker Session（间接 helper 不拥有事务）,真实 PostgreSQL PRIMARY KEY sentinel：pk_fact_review_records；仅覆盖直接 owner review.transition_fact_version; product_facts.delete_fact_version / operation submitProductFactReview;approveFactVersion;requestFactVersionChanges;retireFactVersion;deleteFactVersion；断言失败边界、rollback、无 SUCCESS audit
pk_fact_versions,fact_versions,id,PRIMARY KEY,"backend/app/migration_schema_v1.py:304-314; backend/alembic/versions/0035_business_workflow_primary_tasks.py:174-198 ; backend/app/models/product_facts.py:27-116 ; contracts/database.md:217,309,416-417",product_facts.replace_product_facts; product_facts.delete_fact_version,replaceProductFactsDraft;deleteFactVersion,product_facts.replace_product_facts; product_facts.delete_fact_version: 直接写入/修改/删除链按该列或触发器语义执行；未见 pk_fact_versions 专用预检，数据库 PRIMARY KEY 是 authority,product_facts.replace_product_facts; product_facts.delete_fact_version: 未见按 pk_fact_versions 专用 diagnostics mapper；失败由最终 owner rollback，异常进入全局 handler（worker 则由独立 Session 处理）,HTTP owner 当前未捕获时全局 409 REVISION_CONFLICT / 数据约束冲突（不泄漏 DB）。,pk_fact_versions：按 PostgreSQL diagnostics 精确映射；未批准领域 code 时 default500/contract-decision required，禁止错误文本映射。,product_facts.replace_product_facts; product_facts.delete_fact_version 的最终 flush/commit command 或独立 worker Session（间接 helper 不拥有事务）,真实 PostgreSQL PRIMARY KEY sentinel：pk_fact_versions；仅覆盖直接 owner product_facts.replace_product_facts; product_facts.delete_fact_version / operation replaceProductFactsDraft;deleteFactVersion；断言失败边界、rollback、无 SUCCESS audit
pk_file_records,file_records,id,PRIMARY KEY,"backend/app/migration_schema_v1.py:657-669; backend/alembic/versions/0008_files.py:20-30 ; backend/app/models/geo_files.py:24-125 ; contracts/database.md:65-69,431-432",file_records.create_upload_intent; platform_logo_files.create_platform_logo_candidate; file_records.cleanup_file_records,createFileUploadIntent;createPlatformLogoCandidate;无 HTTP operationId（file_records.cleanup_file_records worker）,file_records.create_upload_intent; platform_logo_files.create_platform_logo_candidate; file_records.cleanup_file_records: 直接写入/修改/删除链按该列或触发器语义执行；未见 pk_file_records 专用预检，数据库 PRIMARY KEY 是 authority,file_records.create_upload_intent; platform_logo_files.create_platform_logo_candidate; file_records.cleanup_file_records: 未见按 pk_file_records 专用 diagnostics mapper；失败由最终 owner rollback，异常进入全局 handler（worker 则由独立 Session 处理）,HTTP owner 当前未捕获时全局 409 REVISION_CONFLICT；worker 无 HTTP operationId，失败由 worker Session rollback/FAILED 记录。,pk_file_records：按 PostgreSQL diagnostics 精确映射；未批准领域 code 时 default500/contract-decision required，禁止错误文本映射。,file_records.create_upload_intent; platform_logo_files.create_platform_logo_candidate; file_records.cleanup_file_records 的最终 flush/commit command 或独立 worker Session（间接 helper 不拥有事务）,真实 PostgreSQL PRIMARY KEY sentinel：pk_file_records；仅覆盖直接 owner file_records.create_upload_intent; platform_logo_files.create_platform_logo_candidate; file_records.cleanup_file_records / operation createFileUploadIntent;createPlatformLogoCandidate;无 HTTP operationId（file_records.cleanup_file_records worker）；断言失败边界、rollback、无 SUCCESS audit
pk_generation_jobs,generation_jobs,id,PRIMARY KEY,"backend/app/migration_schema_v1.py:426-465; backend/alembic/versions/0009_config_center.py:244-280; backend/alembic/versions/0011_generation_reliability.py:22-34 ; backend/app/models/ai_generation.py:29-228 ; contracts/database.md:43,81,91,129,436-440",content_production.create_generation_job; content_production.create_humanization_job; content_production.retry_generation_job; publication.permanently_delete_content_task,createGenerationJob;createHumanizationJob;retryGenerationJob;permanentlyDeleteContentTask,content_production.create_generation_job; content_production.create_humanization_job; content_production.retry_generation_job; publication.permanently_delete_content_task: 直接写入/修改/删除链按该约束列或触发器语义执行；未见 pk_generation_jobs 专用预检，数据库 PRIMARY KEY 是 authority,content_production.create_generation_job; content_production.create_humanization_job; content_production.retry_generation_job; publication.permanently_delete_content_task: 未见按 pk_generation_jobs 专用 diagnostics mapper；失败由最终 owner rollback，异常进入全局 handler（worker 则由独立 Session 处理）,HTTP owner 当前未捕获时全局 409 REVISION_CONFLICT / 数据约束冲突（不泄漏 DB）。,pk_generation_jobs：按 PostgreSQL diagnostics 精确映射；未批准领域 code 时 default500/contract-decision required，禁止错误文本映射。,content_production.create_generation_job; content_production.create_humanization_job; content_production.retry_generation_job; publication.permanently_delete_content_task 的最终 flush/commit command 或独立 worker Session（间接 helper 不拥有事务）,真实 PostgreSQL PRIMARY KEY sentinel：pk_generation_jobs；仅覆盖直接 owner content_production.create_generation_job; content_production.create_humanization_job; content_production.retry_generation_job; publication.permanently_delete_content_task / operation createGenerationJob;createHumanizationJob;retryGenerationJob;permanentlyDeleteContentTask；断言失败边界、rollback、无 SUCCESS audit
pk_geo_observation_attachments,geo_observation_attachments,"observation_id,file_id",PRIMARY KEY,"backend/app/migration_schema_v1.py:680-704; backend/alembic/versions/0008_files.py:25-30 ; backend/app/models/geo_files.py:24-125 ; contracts/database.md:69,267-269,432",geo_observation.create_geo_observation; geo_observation.delete_geo_observation; publication.permanently_delete_content_task,createGeoObservation;deleteGeoObservation;permanentlyDeleteContentTask,geo_observation.create_geo_observation; geo_observation.delete_geo_observation; publication.permanently_delete_content_task: 直接写入/修改/删除链按该约束列或触发器语义执行；未见 pk_geo_observation_attachments 专用预检，数据库 PRIMARY KEY 是 authority,geo_observation.create_geo_observation; geo_observation.delete_geo_observation; publication.permanently_delete_content_task: 未见按 pk_geo_observation_attachments 专用 diagnostics mapper；失败由最终 owner rollback，异常进入全局 handler（worker 则由独立 Session 处理）,HTTP owner 当前未捕获时全局 409 REVISION_CONFLICT / 数据约束冲突（不泄漏 DB）。,pk_geo_observation_attachments：按 PostgreSQL diagnostics 精确映射；未批准领域 code 时 default500/contract-decision required，禁止错误文本映射。,geo_observation.create_geo_observation; geo_observation.delete_geo_observation; publication.permanently_delete_content_task 的最终 flush/commit command 或独立 worker Session（间接 helper 不拥有事务）,真实 PostgreSQL PRIMARY KEY sentinel：pk_geo_observation_attachments；仅覆盖直接 owner geo_observation.create_geo_observation; geo_observation.delete_geo_observation; publication.permanently_delete_content_task / operation createGeoObservation;deleteGeoObservation;permanentlyDeleteContentTask；断言失败边界、rollback、无 SUCCESS audit
pk_geo_observation_citations,geo_observation_citations,id,PRIMARY KEY,"backend/app/migration_schema_v1.py:628-637; backend/alembic/versions/0034_publication_workflow_redesign.py:729-736; backend/alembic/versions/0037_simplify_deletion_lifecycle.py:194-199 ; backend/app/models/geo_files.py:24-125 ; contracts/database.md:305,333,457-458",geo_observation.create_geo_observation; geo_observation.delete_geo_observation; publication.permanently_delete_content_task,createGeoObservation;deleteGeoObservation;permanentlyDeleteContentTask,geo_observation.create_geo_observation; geo_observation.delete_geo_observation; publication.permanently_delete_content_task: 直接写入/修改/删除链按该约束列或触发器语义执行；未见 pk_geo_observation_citations 专用预检，数据库 PRIMARY KEY 是 authority,geo_observation.create_geo_observation; geo_observation.delete_geo_observation; publication.permanently_delete_content_task: 未见按 pk_geo_observation_citations 专用 diagnostics mapper；失败由最终 owner rollback，异常进入全局 handler（worker 则由独立 Session 处理）,HTTP owner 当前未捕获时全局 409 REVISION_CONFLICT / 数据约束冲突（不泄漏 DB）。,pk_geo_observation_citations：按 PostgreSQL diagnostics 精确映射；未批准领域 code 时 default500/contract-decision required，禁止错误文本映射。,geo_observation.create_geo_observation; geo_observation.delete_geo_observation; publication.permanently_delete_content_task 的最终 flush/commit command 或独立 worker Session（间接 helper 不拥有事务）,真实 PostgreSQL PRIMARY KEY sentinel：pk_geo_observation_citations；仅覆盖直接 owner geo_observation.create_geo_observation; geo_observation.delete_geo_observation; publication.permanently_delete_content_task / operation createGeoObservation;deleteGeoObservation;permanentlyDeleteContentTask；断言失败边界、rollback、无 SUCCESS audit
